brand,category,price,product,review_avg_rating,review_count,url
Duke Cannon Supply Co,body ,8.99,Sandalwood & Amber Trench Warfare Antiperspirant + Deodorant,4.8,294,https://www.ulta.com/sandalwood-amber-trench-warfare-antiperspirant-deodorant?productId=pimprod2008935
Dermalogica,skincare,19.5,Clear Start Breakout Clearing Foaming Wash,4.4,293,https://www.ulta.com/clear-start-breakout-clearing-foaming-wash?productId=xlsImpprod5780106
Sebastian,hair,38,Drench Shampoo,4.6,278,https://www.ulta.com/drench-shampoo?productId=xlsImpprod4450481
Jack Black,hair,50,All-Over Wash,4.8,274,https://www.ulta.com/all-over-wash?productId=xlsImpprod3730171
Duke Cannon Supply Co,skincare,13.5,Bloody Knuckles Hand Repair Balm,4.9,267,https://www.ulta.com/bloody-knuckles-hand-repair-balm?productId=xlsImpprod16171035
Jack Black,skincare,35,Pure Clean Daily Facial Cleanser,4.8,256,https://www.ulta.com/pure-clean-daily-facial-cleanser?productId=xlsImpprod3730167
Peter Thomas Roth,skincare,48,Instant FIRMx,3.3,255,https://www.ulta.com/instant-firmx?productId=xlsImpprod3030047
Jack Black,skincare,23,Deep Dive Glycolic Facial Cleanser,4.8,253,https://www.ulta.com/deep-dive-glycolic-facial-cleanser?productId=xlsImpprod6400417
Jack Black,shaving,18,Beard Wash,4.8,245,https://www.ulta.com/beard-wash?productId=xlsImpprod17001045
Duke Cannon Supply Co,body ,12.5,Working Man's Face Wash,4.9,233,https://www.ulta.com/working-mans-face-wash?productId=xlsImpprod16171057
Duke Cannon Supply Co,cologne,24.99,Solid Cologne - Land,4.6,233,https://www.ulta.com/solid-cologne-land?productId=xlsImpprod17961407
Jack Black,body ,15,Industrial Strength Hand Healer,4.8,231,https://www.ulta.com/industrial-strength-hand-healer?productId=xlsImpprod3730173
Murad,skincare,39,Time Release Acne Cleanser,4.5,230,https://www.ulta.com/time-release-acne-cleanser?productId=xlsImpprod1790149
Nioxin,hair,19.5,Scalp & Hair Leave-In Treatment System 5 (Chemically Treated Hair/Normal to Light Thinning),4.4,228,https://www.ulta.com/scalp-hair-leave-in-treatment-system-5-chemically-treated-hairnormal-light-thinning?productId=xlsImpprod4450395
Montblanc,cologne,92,Legend Eau de Toilette,4.8,214,https://www.ulta.com/legend-eau-de-toilette?productId=xlsImpprod4320001
Clinique,skincare,21,Clinique For Men Face Scrub,4.7,214,https://www.ulta.com/clinique-men-face-scrub?productId=prod2140590
Clinique,cologne,52,Happy For Men Cologne Spray,4.8,207,https://www.ulta.com/happy-men-cologne-spray?productId=VP11396
Paco Rabanne,cologne,78,Invictus Legend Eau de Parfum,4.6,202,https://www.ulta.com/invictus-legend-eau-de-parfum?productId=pimprod2006396
Duke Cannon Supply Co,skincare,8.5,Cannon Balm,4.9,201,https://www.ulta.com/cannon-balm?productId=xlsImpprod16171059
Duke Cannon Supply Co,cologne,24.99,Solid Cologne - Sea,4.7,200,https://www.ulta.com/solid-cologne-sea?productId=xlsImpprod17961409
Nioxin,hair,19.5,Scalp & Hair Leave-In Treatment System 6 (Chemically Treated Hair/Progressed Thinning),4.4,195,https://www.ulta.com/scalp-hair-leave-in-treatment-system-6-chemically-treated-hairprogressed-thinning?productId=xlsImpprod4450399
Tree Hut,shaving,11.99,Bare Moisturizing Shave Oil,4.8,191,https://www.ulta.com/bare-moisturizing-shave-oil?productId=xlsImpprod14221005
Jack Black,shaving,35,Beard Grooming Kit,4.8,186,https://www.ulta.com/beard-grooming-kit?productId=xlsImpprod17001043
Sexy Hair,hair,19.95,Style Sexy Hair Play Dirty Dry Wax Spray,4.4,183,https://www.ulta.com/style-sexy-hair-play-dirty-dry-wax-spray?productId=xlsImpprod5770187
